age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,interaction_score,avg_contact_intensity,balance_per_contact,recency_score,kmeans_cluster,hierarchical_cluster,dbscan_cluster,gmm_cluster
1.5308584604468458,0,1,1,0,0.9081489815729308,1,0,2,-1.2657455558897757,8,2.388642133026172,-0.8142698302777831,-0.5786582341162213,-0.5438480204871231,3,1,-1.358117850764906,12.860819201310644,4.889614772501329,0.5786582341162213,2,2,-1,3
1.2735374868954752,0,1,1,0,-0.7945647901655515,0,0,2,-1.2657455558897757,8,2.388642133026172,-0.8142698302777831,-0.5786582341162213,-0.5438480204871231,3,1,-1.358117850764906,12.860819201310644,-4.278059893844517,0.5786582341162213,2,2,-1,3
-0.0130673808613778,9,1,1,0,0.113104648641951,1,0,2,-1.2657455558897757,8,2.388642133026172,-0.8142698302777831,-0.5786582341162213,-0.5438480204871231,3,1,-1.358117850764906,12.860819201310644,0.6089729461353176,0.5786582341162213,2,2,-1,3
1.1877638290450183,7,1,1,0,1.006695949214888,1,0,2,-1.2657455558897757,8,0.7939930425319692,-0.8142698302777831,-0.5786582341162213,-0.5438480204871231,3,1,-1.358117850764906,4.274981516032031,5.420206909413424,0.5786582341162213,3,3,-1,3
1.1019901711945614,0,1,2,0,-0.6915720946600471,0,0,2,-1.2657455558897757,8,1.1241626780087424,-0.1568463333113733,-0.5786582341162213,-0.5438480204871231,3,1,-0.7006943537984964,1.3332832702059412,-0.8202207046979989,0.5786582341162213,1,1,-1,1
0.072706276989079,4,2,2,0,-0.8279077491421536,1,1,2,-1.2657455558897757,8,0.7342815127117017,-0.1568463333113733,-0.5786582341162213,-0.5438480204871231,3,1,-0.7006943537984964,0.8708750749972947,-0.9819179846464412,0.5786582341162213,1,1,-1,1
1.2735374868954752,4,1,2,0,-0.2129153946848253,1,1,2,-1.1469858207168957,8,2.388642133026172,-0.8142698302777831,-0.5786582341162213,-0.5438480204871231,3,1,-1.358117850764906,12.860819201310644,-1.1463694616941735,0.5786582341162213,2,2,-1,2
1.6166321182973027,5,0,1,0,-0.4240874682033055,1,0,2,-1.1469858207168957,8,2.37810480423436,-0.8142698302777831,-0.5786582341162213,-0.5438480204871231,3,1,-1.358117850764906,12.8040845910555,-2.283352612220095,0.5786582341162213,2,2,-1,3
-0.3561620122632052,9,1,1,0,-0.827166794498229,1,0,2,-1.1469858207168957,8,0.8958538875194844,-0.8142698302777831,-0.5786582341162213,-0.5438480204871231,3,1,-1.358117850764906,4.823416081831766,-4.453594134627466,0.5786582341162213,2,2,-1,3
-1.128124932917317,7,2,1,0,2.2003738805772444,1,0,2,-1.1469858207168957,8,2.388642133026172,0.5005771636550364,-0.5786582341162213,-0.5438480204871231,3,1,-0.0432708568320867,1.5918155966121914,1.4663517037788816,0.5786582341162213,1,0,-1,1
-0.2703883544127484,0,2,1,0,-0.7538122847497044,1,0,2,-1.0282260855440155,8,1.521068729166991,-0.8142698302777831,-0.5786582341162213,-0.5438480204871231,3,1,-1.358117850764906,8.189669623637037,-4.058642092865831,0.5786582341162213,2,2,-1,3
